unit,timestamp,start,end,value
m,2024-01-20 00:00:00,2024-01-20 00:00:00,2024-01-21 00:00:00,197.0
m,2024-01-21 00:00:00,2024-01-21 00:00:00,2024-01-22 00:00:00,52.0
m,2024-01-22 00:00:00,2024-01-22 00:00:00,2024-01-23 00:00:00,132.0
m,2024-01-23 00:00:00,2024-01-23 00:00:00,2024-01-24 00:00:00,129.0
m,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-25 00:00:00,121.0
m,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-26 00:00:00,67.0
m,2024-01-26 00:00:00,2024-01-26 00:00:00,2024-01-27 00:00:00,157.0
m,2024-01-27 00:00:00,2024-01-27 00:00:00,2024-01-27 23:59:59,70.0
m,2024-01-29 00:00:00,2024-01-29 00:00:00,2024-01-30 00:00:00,83.0
m,2024-01-30 00:00:00,2024-01-30 00:00:00,2024-01-31 00:00:00,181.0
m,2024-02-01 00:00:00,2024-02-01 00:00:00,2024-02-02 00:00:00,124.0
m,2024-02-02 00:00:00,2024-02-02 00:00:00,2024-02-03 00:00:00,64.0
m,2024-02-03 00:00:00,2024-02-03 00:00:00,2024-02-04 00:00:00,81.0
m,2024-02-04 00:00:00,2024-02-04 00:00:00,2024-02-04 23:59:59,183.0
m,2024-01-30 00:15:00,2024-01-30 00:15:00,2024-01-30 00:16:00,74.11927496646324
m,2024-01-30 01:30:00,2024-01-30 01:30:00,2024-01-30 01:31:00,23.81454821267005
m,2024-01-30 02:00:00,2024-01-30 02:00:00,2024-01-30 02:01:00,70.17583045692332
m,2024-01-30 02:30:00,2024-01-30 02:30:00,2024-01-30 02:31:00,11.716712496627547
m,2024-01-30 02:45:00,2024-01-30 02:45:00,2024-01-30 02:46:00,35.69229573815576
m,2024-01-30 03:15:00,2024-01-30 03:15:00,2024-01-30 03:16:00,78.92746358565475
m,2024-01-30 03:30:00,2024-01-30 03:30:00,2024-01-30 03:31:00,39.788042253002025
m,2024-01-30 04:15:00,2024-01-30 04:15:00,2024-01-30 04:16:00,89.32061136516701
m,2024-01-30 05:15:00,2024-01-30 05:15:00,2024-01-30 05:16:00,18.901499420403912
m,2024-01-30 06:30:00,2024-01-30 06:30:00,2024-01-30 06:31:00,42.59157279115555
m,2024-01-30 06:45:00,2024-01-30 06:45:00,2024-01-30 06:46:00,8.37936507591549
m,2024-01-30 07:00:00,2024-01-30 07:00:00,2024-01-30 07:01:00,91.40519923517022
m,2024-01-30 08:00:00,2024-01-30 08:00:00,2024-01-30 08:01:00,71.61289971949341
m,2024-01-30 08:15:00,2024-01-30 08:15:00,2024-01-30 08:16:00,69.78425822801185
m,2024-01-30 09:30:00,2024-01-30 09:30:00,2024-01-30 09:31:00,15.852802734400994
m,2024-01-30 09:45:00,2024-01-30 09:45:00,2024-01-30 09:46:00,30.768593534470124
m,2024-01-30 10:00:00,2024-01-30 10:00:00,2024-01-30 10:01:00,16.147608281048477
m,2024-01-30 10:30:00,2024-01-30 10:30:00,2024-01-30 10:31:00,64.14189315407829
m,2024-01-30 11:00:00,2024-01-30 11:00:00,2024-01-30 11:01:00,82.68805896061059
