unit,timestamp,start,end,value
count,2024-01-20 00:00:00,2024-01-20 00:00:00,2024-01-21 00:00:00,5782.0
count,2024-01-21 00:00:00,2024-01-21 00:00:00,2024-01-22 00:00:00,7101.0
count,2024-01-22 00:00:00,2024-01-22 00:00:00,2024-01-23 00:00:00,8033.0
count,2024-01-23 00:00:00,2024-01-23 00:00:00,2024-01-24 00:00:00,6262.0
count,2024-01-24 00:00:00,2024-01-24 00:00:00,2024-01-25 00:00:00,6157.0
count,2024-01-25 00:00:00,2024-01-25 00:00:00,2024-01-26 00:00:00,5149.0
count,2024-01-26 00:00:00,2024-01-26 00:00:00,2024-01-27 00:00:00,5913.0
count,2024-01-27 00:00:00,2024-01-27 00:00:00,2024-01-27 23:59:59,5628.0
count,2024-01-29 00:00:00,2024-01-29 00:00:00,2024-01-30 00:00:00,7626.0
count,2024-01-30 00:00:00,2024-01-30 00:00:00,2024-01-31 00:00:00,6553.0
count,2024-02-01 00:00:00,2024-02-01 00:00:00,2024-02-02 00:00:00,8967.0
count,2024-02-02 00:00:00,2024-02-02 00:00:00,2024-02-03 00:00:00,8825.0
count,2024-02-03 00:00:00,2024-02-03 00:00:00,2024-02-04 00:00:00,9225.0
count,2024-02-04 00:00:00,2024-02-04 00:00:00,2024-02-04 23:59:59,6423.0
count,2024-01-30 00:00:00,2024-01-30 00:00:00,2024-01-30 00:01:00,317.0
count,2024-01-30 00:45:00,2024-01-30 00:45:00,2024-01-30 00:46:00,236.0
count,2024-01-30 01:30:00,2024-01-30 01:30:00,2024-01-30 01:31:00,466.0
count,2024-01-30 02:15:00,2024-01-30 02:15:00,2024-01-30 02:16:00,159.0
count,2024-01-30 02:30:00,2024-01-30 02:30:00,2024-01-30 02:31:00,173.0
count,2024-01-30 02:45:00,2024-01-30 02:45:00,2024-01-30 02:46:00,77.0
count,2024-01-30 03:00:00,2024-01-30 03:00:00,2024-01-30 03:01:00,140.0
count,2024-01-30 03:30:00,2024-01-30 03:30:00,2024-01-30 03:31:00,393.0
count,2024-01-30 03:45:00,2024-01-30 03:45:00,2024-01-30 03:46:00,97.0
count,2024-01-30 04:00:00,2024-01-30 04:00:00,2024-01-30 04:01:00,3.0
count,2024-01-30 04:15:00,2024-01-30 04:15:00,2024-01-30 04:16:00,481.0
count,2024-01-30 04:45:00,2024-01-30 04:45:00,2024-01-30 04:46:00,324.0
count,2024-01-30 05:00:00,2024-01-30 05:00:00,2024-01-30 05:01:00,120.0
count,2024-01-30 05:30:00,2024-01-30 05:30:00,2024-01-30 05:31:00,33.0
count,2024-01-30 05:45:00,2024-01-30 05:45:00,2024-01-30 05:46:00,498.0
count,2024-01-30 06:00:00,2024-01-30 06:00:00,2024-01-30 06:01:00,275.0
count,2024-01-30 06:15:00,2024-01-30 06:15:00,2024-01-30 06:16:00,197.0
count,2024-01-30 06:30:00,2024-01-30 06:30:00,2024-01-30 06:31:00,84.0
count,2024-01-30 07:30:00,2024-01-30 07:30:00,2024-01-30 07:31:00,192.0
count,2024-01-30 07:45:00,2024-01-30 07:45:00,2024-01-30 07:46:00,395.0
count,2024-01-30 08:00:00,2024-01-30 08:00:00,2024-01-30 08:01:00,124.0
count,2024-01-30 08:15:00,2024-01-30 08:15:00,2024-01-30 08:16:00,2.0
count,2024-01-30 08:30:00,2024-01-30 08:30:00,2024-01-30 08:31:00,93.0
count,2024-01-30 09:15:00,2024-01-30 09:15:00,2024-01-30 09:16:00,363.0
count,2024-01-30 09:45:00,2024-01-30 09:45:00,2024-01-30 09:46:00,385.0
count,2024-01-30 10:15:00,2024-01-30 10:15:00,2024-01-30 10:16:00,98.0
count,2024-01-30 10:30:00,2024-01-30 10:30:00,2024-01-30 10:31:00,92.0
count,2024-01-30 11:00:00,2024-01-30 11:00:00,2024-01-30 11:01:00,255.0
count,2024-01-30 11:30:00,2024-01-30 11:30:00,2024-01-30 11:31:00,93.0
count,2024-01-30 11:45:00,2024-01-30 11:45:00,2024-01-30 11:46:00,75.0
count,2024-01-30 12:45:00,2024-01-30 12:45:00,2024-01-30 12:46:00,39.0
count,2024-01-30 13:00:00,2024-01-30 13:00:00,2024-01-30 13:01:00,426.0
count,2024-01-30 13:30:00,2024-01-30 13:30:00,2024-01-30 13:31:00,280.0
count,2024-01-30 13:45:00,2024-01-30 13:45:00,2024-01-30 13:46:00,217.0
count,2024-01-30 14:15:00,2024-01-30 14:15:00,2024-01-30 14:16:00,300.0
count,2024-01-30 14:30:00,2024-01-30 14:30:00,2024-01-30 14:31:00,73.0
count,2024-01-30 15:00:00,2024-01-30 15:00:00,2024-01-30 15:01:00,490.0
count,2024-01-30 15:15:00,2024-01-30 15:15:00,2024-01-30 15:16:00,300.0
count,2024-01-30 15:30:00,2024-01-30 15:30:00,2024-01-30 15:31:00,475.0
count,2024-01-30 15:45:00,2024-01-30 15:45:00,2024-01-30 15:46:00,491.0
count,2024-01-30 16:15:00,2024-01-30 16:15:00,2024-01-30 16:16:00,389.0
count,2024-01-30 17:00:00,2024-01-30 17:00:00,2024-01-30 17:01:00,315.0
count,2024-01-30 17:15:00,2024-01-30 17:15:00,2024-01-30 17:16:00,233.0
count,2024-01-30 17:30:00,2024-01-30 17:30:00,2024-01-30 17:31:00,357.0
count,2024-01-30 18:00:00,2024-01-30 18:00:00,2024-01-30 18:01:00,248.0
count,2024-01-30 18:30:00,2024-01-30 18:30:00,2024-01-30 18:31:00,210.0
