id,timezone_offset,type,unit,timestamp,start,end,value
,,,count,2024-01-20 00:00:00+00:00,2024-01-20 00:00:00+00:00,2024-01-21 00:00:00+00:00,5782.0
,,,count,2024-01-21 00:00:00+00:00,2024-01-21 00:00:00+00:00,2024-01-22 00:00:00+00:00,7101.0
,,,count,2024-01-22 00:00:00+00:00,2024-01-22 00:00:00+00:00,2024-01-23 00:00:00+00:00,8033.0
,,,count,2024-01-23 00:00:00+00:00,2024-01-23 00:00:00+00:00,2024-01-24 00:00:00+00:00,6262.0
,,,count,2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,2024-01-25 00:00:00+00:00,6157.0
,,,count,2024-01-25 00:00:00+00:00,2024-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,5149.0
,,,count,2024-01-26 00:00:00+00:00,2024-01-26 00:00:00+00:00,2024-01-27 00:00:00+00:00,5913.0
,,,count,2024-01-27 00:00:00+00:00,2024-01-27 00:00:00+00:00,2024-01-27 23:59:59+00:00,5628.0
,,,count,2024-01-29 00:00:00+00:00,2024-01-29 00:00:00+00:00,2024-01-30 00:00:00+00:00,7626.0
,,,count,2024-01-30 00:00:00+00:00,2024-01-30 00:00:00+00:00,2024-01-31 00:00:00+00:00,6553.0
,,,count,2024-02-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,2024-02-02 00:00:00+00:00,8967.0
,,,count,2024-02-02 00:00:00+00:00,2024-02-02 00:00:00+00:00,2024-02-03 00:00:00+00:00,8825.0
,,,count,2024-02-03 00:00:00+00:00,2024-02-03 00:00:00+00:00,2024-02-04 00:00:00+00:00,9225.0
,,,count,2024-02-04 00:00:00+00:00,2024-02-04 00:00:00+00:00,2024-02-04 23:59:59+00:00,6423.0
,0.0,,count,2024-01-30 00:00:00+00:00,2024-01-30 00:00:00+00:00,2024-01-30 00:01:00+00:00,317.0
,0.0,,count,2024-01-30 00:45:00+00:00,2024-01-30 00:45:00+00:00,2024-01-30 00:46:00+00:00,236.0
,0.0,,count,2024-01-30 01:30:00+00:00,2024-01-30 01:30:00+00:00,2024-01-30 01:31:00+00:00,466.0
,0.0,,count,2024-01-30 02:15:00+00:00,2024-01-30 02:15:00+00:00,2024-01-30 02:16:00+00:00,159.0
,0.0,,count,2024-01-30 02:30:00+00:00,2024-01-30 02:30:00+00:00,2024-01-30 02:31:00+00:00,173.0
,0.0,,count,2024-01-30 02:45:00+00:00,2024-01-30 02:45:00+00:00,2024-01-30 02:46:00+00:00,77.0
,0.0,,count,2024-01-30 03:00:00+00:00,2024-01-30 03:00:00+00:00,2024-01-30 03:01:00+00:00,140.0
,0.0,,count,2024-01-30 03:30:00+00:00,2024-01-30 03:30:00+00:00,2024-01-30 03:31:00+00:00,393.0
,0.0,,count,2024-01-30 03:45:00+00:00,2024-01-30 03:45:00+00:00,2024-01-30 03:46:00+00:00,97.0
,0.0,,count,2024-01-30 04:00:00+00:00,2024-01-30 04:00:00+00:00,2024-01-30 04:01:00+00:00,3.0
,0.0,,count,2024-01-30 04:15:00+00:00,2024-01-30 04:15:00+00:00,2024-01-30 04:16:00+00:00,481.0
,0.0,,count,2024-01-30 04:45:00+00:00,2024-01-30 04:45:00+00:00,2024-01-30 04:46:00+00:00,324.0
,0.0,,count,2024-01-30 05:00:00+00:00,2024-01-30 05:00:00+00:00,2024-01-30 05:01:00+00:00,120.0
,0.0,,count,2024-01-30 05:30:00+00:00,2024-01-30 05:30:00+00:00,2024-01-30 05:31:00+00:00,33.0
,0.0,,count,2024-01-30 05:45:00+00:00,2024-01-30 05:45:00+00:00,2024-01-30 05:46:00+00:00,498.0
,0.0,,count,2024-01-30 06:00:00+00:00,2024-01-30 06:00:00+00:00,2024-01-30 06:01:00+00:00,275.0
,0.0,,count,2024-01-30 06:15:00+00:00,2024-01-30 06:15:00+00:00,2024-01-30 06:16:00+00:00,197.0
,0.0,,count,2024-01-30 06:30:00+00:00,2024-01-30 06:30:00+00:00,2024-01-30 06:31:00+00:00,84.0
,0.0,,count,2024-01-30 07:30:00+00:00,2024-01-30 07:30:00+00:00,2024-01-30 07:31:00+00:00,192.0
,0.0,,count,2024-01-30 07:45:00+00:00,2024-01-30 07:45:00+00:00,2024-01-30 07:46:00+00:00,395.0
,0.0,,count,2024-01-30 08:00:00+00:00,2024-01-30 08:00:00+00:00,2024-01-30 08:01:00+00:00,124.0
,0.0,,count,2024-01-30 08:15:00+00:00,2024-01-30 08:15:00+00:00,2024-01-30 08:16:00+00:00,2.0
,0.0,,count,2024-01-30 08:30:00+00:00,2024-01-30 08:30:00+00:00,2024-01-30 08:31:00+00:00,93.0
,0.0,,count,2024-01-30 09:15:00+00:00,2024-01-30 09:15:00+00:00,2024-01-30 09:16:00+00:00,363.0
,0.0,,count,2024-01-30 09:45:00+00:00,2024-01-30 09:45:00+00:00,2024-01-30 09:46:00+00:00,385.0
,0.0,,count,2024-01-30 10:15:00+00:00,2024-01-30 10:15:00+00:00,2024-01-30 10:16:00+00:00,98.0
,0.0,,count,2024-01-30 10:30:00+00:00,2024-01-30 10:30:00+00:00,2024-01-30 10:31:00+00:00,92.0
,0.0,,count,2024-01-30 11:00:00+00:00,2024-01-30 11:00:00+00:00,2024-01-30 11:01:00+00:00,255.0
,0.0,,count,2024-01-30 11:30:00+00:00,2024-01-30 11:30:00+00:00,2024-01-30 11:31:00+00:00,93.0
,0.0,,count,2024-01-30 11:45:00+00:00,2024-01-30 11:45:00+00:00,2024-01-30 11:46:00+00:00,75.0
,0.0,,count,2024-01-30 12:45:00+00:00,2024-01-30 12:45:00+00:00,2024-01-30 12:46:00+00:00,39.0
,0.0,,count,2024-01-30 13:00:00+00:00,2024-01-30 13:00:00+00:00,2024-01-30 13:01:00+00:00,426.0
,0.0,,count,2024-01-30 13:30:00+00:00,2024-01-30 13:30:00+00:00,2024-01-30 13:31:00+00:00,280.0
,0.0,,count,2024-01-30 13:45:00+00:00,2024-01-30 13:45:00+00:00,2024-01-30 13:46:00+00:00,217.0
,0.0,,count,2024-01-30 14:15:00+00:00,2024-01-30 14:15:00+00:00,2024-01-30 14:16:00+00:00,300.0
,0.0,,count,2024-01-30 14:30:00+00:00,2024-01-30 14:30:00+00:00,2024-01-30 14:31:00+00:00,73.0
,0.0,,count,2024-01-30 15:00:00+00:00,2024-01-30 15:00:00+00:00,2024-01-30 15:01:00+00:00,490.0
,0.0,,count,2024-01-30 15:15:00+00:00,2024-01-30 15:15:00+00:00,2024-01-30 15:16:00+00:00,300.0
,0.0,,count,2024-01-30 15:30:00+00:00,2024-01-30 15:30:00+00:00,2024-01-30 15:31:00+00:00,475.0
,0.0,,count,2024-01-30 15:45:00+00:00,2024-01-30 15:45:00+00:00,2024-01-30 15:46:00+00:00,491.0
,0.0,,count,2024-01-30 16:15:00+00:00,2024-01-30 16:15:00+00:00,2024-01-30 16:16:00+00:00,389.0
,0.0,,count,2024-01-30 17:00:00+00:00,2024-01-30 17:00:00+00:00,2024-01-30 17:01:00+00:00,315.0
,0.0,,count,2024-01-30 17:15:00+00:00,2024-01-30 17:15:00+00:00,2024-01-30 17:16:00+00:00,233.0
,0.0,,count,2024-01-30 17:30:00+00:00,2024-01-30 17:30:00+00:00,2024-01-30 17:31:00+00:00,357.0
,0.0,,count,2024-01-30 18:00:00+00:00,2024-01-30 18:00:00+00:00,2024-01-30 18:01:00+00:00,248.0
,0.0,,count,2024-01-30 18:30:00+00:00,2024-01-30 18:30:00+00:00,2024-01-30 18:31:00+00:00,210.0
,0.0,,count,2024-01-30 18:45:00+00:00,2024-01-30 18:45:00+00:00,2024-01-30 18:46:00+00:00,488.0
,0.0,,count,2024-01-30 19:00:00+00:00,2024-01-30 19:00:00+00:00,2024-01-30 19:01:00+00:00,350.0
,0.0,,count,2024-01-30 20:00:00+00:00,2024-01-30 20:00:00+00:00,2024-01-30 20:01:00+00:00,257.0
,0.0,,count,2024-01-30 20:15:00+00:00,2024-01-30 20:15:00+00:00,2024-01-30 20:16:00+00:00,439.0
,0.0,,count,2024-01-30 20:45:00+00:00,2024-01-30 20:45:00+00:00,2024-01-30 20:46:00+00:00,159.0
,0.0,,count,2024-01-30 21:45:00+00:00,2024-01-30 21:45:00+00:00,2024-01-30 21:46:00+00:00,347.0
,0.0,,count,2024-01-30 22:00:00+00:00,2024-01-30 22:00:00+00:00,2024-01-30 22:01:00+00:00,74.0
,0.0,,count,2024-01-30 22:15:00+00:00,2024-01-30 22:15:00+00:00,2024-01-30 22:16:00+00:00,379.0
,0.0,,count,2024-01-30 23:00:00+00:00,2024-01-30 23:00:00+00:00,2024-01-30 23:01:00+00:00,342.0
,0.0,,count,2024-01-30 23:30:00+00:00,2024-01-30 23:30:00+00:00,2024-01-30 23:31:00+00:00,409.0
,0.0,,count,2024-01-31 01:15:00+00:00,2024-01-31 01:15:00+00:00,2024-01-31 01:16:00+00:00,207.0
,0.0,,count,2024-01-31 02:30:00+00:00,2024-01-31 02:30:00+00:00,2024-01-31 02:31:00+00:00,371.0
,0.0,,count,2024-01-31 02:45:00+00:00,2024-01-31 02:45:00+00:00,2024-01-31 02:46:00+00:00,494.0
,0.0,,count,2024-01-31 03:00:00+00:00,2024-01-31 03:00:00+00:00,2024-01-31 03:01:00+00:00,72.0
,0.0,,count,2024-01-31 03:15:00+00:00,2024-01-31 03:15:00+00:00,2024-01-31 03:16:00+00:00,332.0
,0.0,,count,2024-01-31 03:30:00+00:00,2024-01-31 03:30:00+00:00,2024-01-31 03:31:00+00:00,485.0
,0.0,,count,2024-01-31 03:45:00+00:00,2024-01-31 03:45:00+00:00,2024-01-31 03:46:00+00:00,157.0
,0.0,,count,2024-01-31 04:30:00+00:00,2024-01-31 04:30:00+00:00,2024-01-31 04:31:00+00:00,410.0
,0.0,,count,2024-01-31 05:00:00+00:00,2024-01-31 05:00:00+00:00,2024-01-31 05:01:00+00:00,77.0
,0.0,,count,2024-01-31 05:15:00+00:00,2024-01-31 05:15:00+00:00,2024-01-31 05:16:00+00:00,472.0
,0.0,,count,2024-01-31 05:30:00+00:00,2024-01-31 05:30:00+00:00,2024-01-31 05:31:00+00:00,468.0
,0.0,,count,2024-01-31 05:45:00+00:00,2024-01-31 05:45:00+00:00,2024-01-31 05:46:00+00:00,85.0
,0.0,,count,2024-01-31 06:15:00+00:00,2024-01-31 06:15:00+00:00,2024-01-31 06:16:00+00:00,477.0
,0.0,,count,2024-01-31 06:30:00+00:00,2024-01-31 06:30:00+00:00,2024-01-31 06:31:00+00:00,135.0
,0.0,,count,2024-01-31 06:45:00+00:00,2024-01-31 06:45:00+00:00,2024-01-31 06:46:00+00:00,7.0
,0.0,,count,2024-01-31 07:00:00+00:00,2024-01-31 07:00:00+00:00,2024-01-31 07:01:00+00:00,263.0
,0.0,,count,2024-01-31 07:45:00+00:00,2024-01-31 07:45:00+00:00,2024-01-31 07:46:00+00:00,134.0
,0.0,,count,2024-01-31 08:45:00+00:00,2024-01-31 08:45:00+00:00,2024-01-31 08:46:00+00:00,163.0
,0.0,,count,2024-01-31 09:00:00+00:00,2024-01-31 09:00:00+00:00,2024-01-31 09:01:00+00:00,234.0
,0.0,,count,2024-01-31 09:30:00+00:00,2024-01-31 09:30:00+00:00,2024-01-31 09:31:00+00:00,175.0
,0.0,,count,2024-01-31 10:00:00+00:00,2024-01-31 10:00:00+00:00,2024-01-31 10:01:00+00:00,335.0
,0.0,,count,2024-01-31 10:15:00+00:00,2024-01-31 10:15:00+00:00,2024-01-31 10:16:00+00:00,93.0
,0.0,,count,2024-01-31 10:45:00+00:00,2024-01-31 10:45:00+00:00,2024-01-31 10:46:00+00:00,175.0
,0.0,,count,2024-01-31 11:15:00+00:00,2024-01-31 11:15:00+00:00,2024-01-31 11:16:00+00:00,377.0
,0.0,,count,2024-01-31 12:00:00+00:00,2024-01-31 12:00:00+00:00,2024-01-31 12:01:00+00:00,86.0
,0.0,,count,2024-01-31 13:30:00+00:00,2024-01-31 13:30:00+00:00,2024-01-31 13:31:00+00:00,204.0
,0.0,,count,2024-01-31 14:00:00+00:00,2024-01-31 14:00:00+00:00,2024-01-31 14:01:00+00:00,105.0
,0.0,,count,2024-01-31 14:15:00+00:00,2024-01-31 14:15:00+00:00,2024-01-31 14:16:00+00:00,222.0
,0.0,,count,2024-01-31 14:30:00+00:00,2024-01-31 14:30:00+00:00,2024-01-31 14:31:00+00:00,168.0
,0.0,,count,2024-01-31 14:45:00+00:00,2024-01-31 14:45:00+00:00,2024-01-31 14:46:00+00:00,411.0
,0.0,,count,2024-01-31 15:00:00+00:00,2024-01-31 15:00:00+00:00,2024-01-31 15:01:00+00:00,193.0
,0.0,,count,2024-01-31 15:45:00+00:00,2024-01-31 15:45:00+00:00,2024-01-31 15:46:00+00:00,122.0
,0.0,,count,2024-01-31 16:15:00+00:00,2024-01-31 16:15:00+00:00,2024-01-31 16:16:00+00:00,165.0
,0.0,,count,2024-01-31 16:30:00+00:00,2024-01-31 16:30:00+00:00,2024-01-31 16:31:00+00:00,6.0
,0.0,,count,2024-01-31 16:45:00+00:00,2024-01-31 16:45:00+00:00,2024-01-31 16:46:00+00:00,30.0
,0.0,,count,2024-01-31 17:00:00+00:00,2024-01-31 17:00:00+00:00,2024-01-31 17:01:00+00:00,244.0
,0.0,,count,2024-01-31 17:30:00+00:00,2024-01-31 17:30:00+00:00,2024-01-31 17:31:00+00:00,456.0
,0.0,,count,2024-01-31 17:45:00+00:00,2024-01-31 17:45:00+00:00,2024-01-31 17:46:00+00:00,136.0
,0.0,,count,2024-01-31 18:00:00+00:00,2024-01-31 18:00:00+00:00,2024-01-31 18:01:00+00:00,246.0
,0.0,,count,2024-01-31 18:30:00+00:00,2024-01-31 18:30:00+00:00,2024-01-31 18:31:00+00:00,274.0
,0.0,,count,2024-01-31 19:30:00+00:00,2024-01-31 19:30:00+00:00,2024-01-31 19:31:00+00:00,57.0
,0.0,,count,2024-01-31 21:30:00+00:00,2024-01-31 21:30:00+00:00,2024-01-31 21:31:00+00:00,331.0
,0.0,,count,2024-01-31 21:45:00+00:00,2024-01-31 21:45:00+00:00,2024-01-31 21:46:00+00:00,82.0
,0.0,,count,2024-01-31 22:00:00+00:00,2024-01-31 22:00:00+00:00,2024-01-31 22:01:00+00:00,17.0
,0.0,,count,2024-01-31 22:30:00+00:00,2024-01-31 22:30:00+00:00,2024-01-31 22:31:00+00:00,463.0
,0.0,,count,2024-01-31 22:45:00+00:00,2024-01-31 22:45:00+00:00,2024-01-31 22:46:00+00:00,39.0
